County,GEOID10,UniqueID_2cnty,SqMiles,ALAND10,AWATER10,TotPop,PopOver18,MaleOver18,FemOver18,Estimate_MedianIncome_2015,Perc_BachelorsDeg_and_higher,White_and_combination,White_only,MedianAge_Total,MedianAge_Male,MedianAge_Female,Bernie,Hillary,Trump,Kasich,Cruz
Albany,36001,Albany,523,1354056384,27189291,304204,243573,116047,127526,59887,38.6,244245,237873,38.5,36.8,40,21798,19914,6793,5026,2390
Allegany,36003,Allegany,1029,2665894548,13153777,48946,38370,19298,19072,42776,20,47605,47085,37.8,36.2,39.2,1209,847,2827,1175,1159
Bronx,36005,Bronx,42,109028908,39838229,1385108,1016912,462040,554872,34299,18.9,427659,386497,32.8,30.6,34.9,46189,105719,4730,1148,1164
Broome,36007,Broome,706,1827925580,25248569,200600,160041,77540,82501,46261,27.2,181009,176444,40.2,38.1,42.2,10151,7641,8923,5138,3953
Cattaraugus,36009,Cattaraugus,1308,3388612085,36610366,80317,61516,30110,31406,42601,17.8,75918,74639,40.7,39.8,41.6,2481,1844,3636,1419,1298
Cayuga,36011,Cayuga,692,1791189978,445707605,80026,62728,31929,30799,52082,21.4,75378,74042,41.5,40,43.1,2805,2592,3024,1942,1136
Chautauqua,36013,Chautauqua,1060,2745973829,1139483300,134905,105459,51323,54136,42993,20.9,127434,124875,40.9,39.6,42.3,4431,3865,5027,2294,2016
Chemung,36015,Chemung,407,1055035677,8877179,88830,68950,33973,34977,50320,23.4,81009,78771,40.9,39.4,42.4,2752,2740,4208,2372,1820
Chenango,36017,Chenango,894,2314279661,13161203,50477,38998,19282,19716,45668,17.4,49525,48896,42.9,42,43.9,1613,1062,2659,1394,1133
Clinton,36019,Clinton,1038,2688025469,206355454,82128,66238,33912,32326,49930,22.1,77099,75997,39.1,38,40.2,4797,1774,2487,1389,739
Columbia,36021,Columbia,635,1643879273,35121043,63096,50289,24995,25294,59105,29.3,58319,57136,45.3,44.4,46.2,3660,3039,2662,1271,744
Cortland,36023,Cortland,499,1291782573,7144297,49336,38925,18813,20112,49514,23.6,47697,46901,35.8,35.3,36.4,2037,1515,1710,1276,900
Delaware,36025,Delaware,1442,3735902531,64765808,47980,38575,19317,19258,43720,20.2,46241,45675,45.4,44.3,46.3,1813,1172,2831,1142,846
Dutchess,36027,Dutchess,796,2060671707,76968747,297488,231519,114222,117297,71904,33.4,244919,238387,40.2,39.2,41.2,12395,11701,12872,4401,2840
Erie,36029,Erie,1043,2700563452,476973805,919040,720096,341635,378461,51247,31.6,749229,735244,40.4,38.5,42.1,52473,54279,39589,13136,7964
Essex,36031,Essex,1794,4647029522,315977756,39370,31784,16480,15304,52758,24.2,37536,37100,44.5,42.5,46.4,2145,838,1918,1274,664
Franklin,36033,Franklin,1629,4219398044,177032265,51599,40879,22767,18112,47923,17.7,44021,43437,39.3,37.3,41.8,2512,1076,1460,763,433
Fulton,36035,Fulton,495,1283258864,96893251,55531,43205,21191,22014,46969,16.2,53684,52948,41.8,40.6,43,1475,1010,3456,1552,1036
Genesee,36037,Genesee,493,1276697637,6142600,60079,46820,23054,23766,50880,20,56763,55787,41.5,40.3,42.6,1622,1393,3815,1282,1032
Greene,36039,Greene,647,1676140222,28201066,49221,39739,20828,18911,50278,20.6,45212,44440,44,42.3,45.9,1566,1195,2689,838,705
Hamilton,36041,Hamilton,1717,4447975965,234214069,4836,4041,2037,2004,48243,24.5,4755,4705,51.3,50.9,51.8,245,141,565,326,210
