"","County","GEOID10","UniqueID_2cnty","SqMiles","ALAND10","AWATER10","TotPop","PopOver18","MaleOver18","FemOver18","Estimate_MedianIncome_2015","Perc_BachelorsDeg_and_higher","White_and_combination","White_only","MedianAge_Total","MedianAge_Male","MedianAge_Female","Bernie","Hillary","Trump","Kasich","Cruz","County.1","Trump_twt","Kasich_twt","Cruz_twt","Hillary_twt","Bernie_twt","Unclear_twt","d17_Bernie","d18_Bernie","d19b4_Bernie","d20_Bernie","d19aft_Bernie","d17_Cruz","d18_Cruz","d19b4_Cruz","d20_Cruz","d19aft_Cruz","d17_Hillary","d18_Hillary","d19b4_Hillary","d20_Hillary","d19aft_Hillary","d17_Kasich","d18_Kasich","d19b4_Kasich","d20_Kasich","d19aft_Kasich","d17_Trump","d18_Trump","d19b4_Trump","d20_Trump","d19aft_Trump","d17_Unclear","d18_Unclear","d19b4_Unclear","d20_Unclear","d19aft_Unclear","AllTweets","BeforeElectionCalled_Bernie","BeforeElectionCalled_Hillary","BeforeElectionCalled_Cruz","BeforeElectionCalled_Kasich","BeforeElectionCalled_Trump","TotRTwt","TotTwt","TotDTwt","Cruz_VS","Trump_VS","Kasich_VS","Bernie_VS","Hillary_VS","Bernie_TS17","Hillary_TS17","Cruz_TS17","Trump_TS17","Kasich_TS17","Bernie_TS18","Hillary_TS18","Cruz_TS18","Trump_TS18","Kasich_TS18","Bernie_TS19b4","Hillary_TS19b4","Cruz_TS19b4","Trump_TS19b4","Kasich_TS19b4","Bernie_TS19aft_u","Hillary_TS19aft_u","Cruz_TS19aft_u","Trump_TS19aft_u","Kasich_TS19aft_u","Bernie_TS20","Hillary_TS20","Cruz_TS20","Trump_TS20","Kasich_TS20","Bernie_TS","Hillary_TS","Cruz_TS","Trump_TS","Kasich_TS","Bernie_TS_b4","Hillary_TS_b4","Cruz_TS_b4","Trump_TS_b4","Kasich_TS_b4","Candidate_VS","Candidate_TS17","Candidate_TS18","Candidate_TS19b4","Candidate_TS19aft_u","Candidate_TS20","Candidate_TS_b4","Candidate_TS","CANDIDATE"
"11","Columbia",36021,"Columbia",635,1643879273,35121043,63096,50289,24995,25294,59105,29.3,58319,57136,45.3,44.4,46.2,3660,3039,2662,1271,744,"Columbia",55,1,28,28,30,18,5,3,13,4,5,2,3,3,18,2,8,3,9,3,5,0,0,0,1,0,12,15,15,6,7,1,4,3,3,7,160,21,20,8,0,42,84,142,58,0.159076330981398,0.569168270258713,0.271755398759889,0.546350201522615,0.453649798477385,0.384615384615385,0.615384615384615,0.142857142857143,0.857142857142857,0,0.5,0.5,0.166666666666667,0.833333333333333,0,0.590909090909091,0.409090909090909,0.166666666666667,0.833333333333333,0,0.5,0.5,0.222222222222222,0.777777777777778,0,0.571428571428571,0.428571428571429,0.72,0.24,0.04,0.517241379310345,0.482758620689655,0.333333333333333,0.654761904761905,0.0119047619047619,0.51219512195122,0.48780487804878,0.16,0.84,0,0.569168270258713,0.857142857142857,0.833333333333333,0.833333333333333,0.777777777777778,0.24,0.84,0.654761904761905,"TRUMP"
"12","Cortland",36023,"Cortland",499,1291782573,7144297,49336,38925,18813,20112,49514,23.6,47697,46901,35.8,35.3,36.4,2037,1515,1710,1276,900,"Cortland",49,154,4,8,8,17,0,0,5,2,1,1,0,1,2,0,3,0,1,0,4,14,90,8,32,10,8,14,12,5,10,3,1,1,6,6,240,5,4,2,112,34,207,223,16,0.231600617601647,0.440041173443129,0.328358208955224,0.57347972972973,0.42652027027027,0,1,0.0434782608695652,0.347826086956522,0.608695652173913,0,0,0,0.134615384615385,0.865384615384615,0.833333333333333,0.166666666666667,0.0476190476190476,0.571428571428571,0.380952380952381,0.2,0.8,0,0.5,0.5,1,0,0.0512820512820513,0.128205128205128,0.82051282051282,0.5,0.5,0.0193236714975845,0.236714975845411,0.743961352657005,0.555555555555556,0.444444444444444,0.0135135135135135,0.22972972972973,0.756756756756757,0.440041173443129,0.347826086956522,0.134615384615385,0.571428571428571,0.5,0.128205128205128,0.22972972972973,0.236714975845411,"TRUMP"
"13","Delaware",36025,"Delaware",1442,3735902531,64765808,47980,38575,19317,19258,43720,20.2,46241,45675,45.4,44.3,46.3,1813,1172,2831,1142,846,"Delaware",20,3,7,45,20,17,4,4,8,0,4,1,1,0,5,0,6,10,19,5,5,2,0,0,0,1,3,5,4,0,8,4,6,3,2,2,112,16,35,2,2,12,30,95,65,0.175555094417929,0.58746627931106,0.236978626271011,0.607370184254606,0.392629815745394,0.4,0.6,0.166666666666667,0.5,0.333333333333333,0.285714285714286,0.714285714285714,0.166666666666667,0.833333333333333,0,0.296296296296296,0.703703703703704,0,1,0,0.444444444444444,0.555555555555556,0,0.888888888888889,0.111111111111111,0,1,1,0,0,0.307692307692308,0.692307692307692,0.233333333333333,0.666666666666667,0.1,0.313725490196078,0.686274509803922,0.125,0.75,0.125,0.58746627931106,0.5,0.833333333333333,1,0.888888888888889,0,0.75,0.666666666666667,"TRUMP"
"14","Dutchess",36027,"Dutchess",796,2060671707,76968747,297488,231519,114222,117297,71904,33.4,244919,238387,40.2,39.2,41.2,12395,11701,12872,4401,2840,"Dutchess",866,23,442,145,173,254,29,41,66,13,24,155,97,76,77,37,54,28,23,16,24,8,5,4,3,3,471,131,111,68,85,63,95,37,39,20,1903,136,105,328,17,713,1331,1649,318,0.14120220752747,0.63998408989211,0.218813702580421,0.514400730411687,0.485599269588313,0.349397590361446,0.650602409638554,0.244479495268139,0.742902208201893,0.0126182965299685,0.594202898550725,0.405797101449275,0.416309012875536,0.562231759656652,0.0214592274678112,0.741573033707865,0.258426966292135,0.397905759162304,0.581151832460733,0.0209424083769634,0.5,0.5,0.296,0.68,0.024,0.448275862068966,0.551724137931034,0.52027027027027,0.459459459459459,0.0202702702702703,0.544025157232704,0.455974842767296,0.332081141998497,0.650638617580766,0.0172802404207363,0.564315352697095,0.435684647302905,0.310018903591682,0.673913043478261,0.0160680529300567,0.63998408989211,0.742902208201893,0.562231759656652,0.581151832460733,0.68,0.459459459459459,0.673913043478261,0.650638617580766,"TRUMP"
"15","Erie",36029,"Erie",1043,2700563452,476973805,919040,720096,341635,378461,51247,31.6,749229,735244,40.4,38.5,42.1,52473,54279,39589,13136,7964,"Erie",6806,128,1033,1520,897,713,137,214,356,71,119,110,306,379,168,70,279,383,310,155,393,19,49,38,12,10,379,4262,1294,392,479,141,240,127,106,99,11097,707,972,795,106,5935,7967,10384,2417,0.131226416648816,0.652325792153438,0.216447791197746,0.491541142086331,0.508458857913669,0.329326923076923,0.670673076923077,0.216535433070866,0.746062992125984,0.0374015748031496,0.358458961474037,0.641541038525963,0.0662768031189084,0.923110244747672,0.01061295213342,0.534534534534535,0.465465465465465,0.221507890122735,0.756282875511397,0.0222092343658679,0.232421875,0.767578125,0.125223613595707,0.856887298747764,0.0178890876565295,0.314159292035398,0.685840707964602,0.293706293706294,0.685314685314685,0.020979020979021,0.371121224658668,0.628878775341332,0.129659846868332,0.854273879753985,0.0160662733776829,0.421083978558666,0.578916021441334,0.116296079578701,0.868197776477472,0.0155061439438268,0.652325792153438,0.746062992125984,0.923110244747672,0.756282875511397,0.856887298747764,0.685314685314685,0.868197776477472,0.854273879753985,"TRUMP"
"16","Essex",36031,"Essex",1794,4647029522,315977756,39370,31784,16480,15304,52758,24.2,37536,37100,44.5,42.5,46.4,2145,838,1918,1274,664,"Essex",160,6,66,36,53,42,13,14,16,5,5,16,37,10,2,1,9,8,10,1,8,1,2,3,0,0,37,55,37,18,13,10,12,11,6,3,363,43,27,63,6,129,232,321,89,0.172199170124481,0.497406639004149,0.330394190871369,0.719074756956084,0.280925243043916,0.590909090909091,0.409090909090909,0.296296296296296,0.685185185185185,0.0185185185185185,0.636363636363636,0.363636363636364,0.393617021276596,0.585106382978723,0.0212765957446809,0.615384615384615,0.384615384615385,0.2,0.74,0.06,0.384615384615385,0.615384615384615,0.0714285714285714,0.928571428571429,0,0.833333333333333,0.166666666666667,0.1,0.9,0,0.595505617977528,0.404494382022472,0.28448275862069,0.689655172413793,0.0258620689655172,0.614285714285714,0.385714285714286,0.318181818181818,0.651515151515151,0.0303030303030303,0.497406639004149,0.685185185185185,0.585106382978723,0.74,0.928571428571429,0.9,0.651515151515151,0.689655172413793,"TRUMP"
"17","Franklin",36033,"Franklin",1629,4219398044,177032265,51599,40879,22767,18112,47923,17.7,44021,43437,39.3,37.3,41.8,2512,1076,1460,763,433,"Franklin",25,0,7,17,4,5,0,2,2,0,0,3,0,2,2,0,2,6,4,5,0,0,0,0,0,0,3,5,6,4,7,0,2,1,0,2,58,4,12,5,0,14,32,53,21,0.163027108433735,0.549698795180723,0.287274096385542,0.700111482720178,0.299888517279822,0,1,0.5,0.5,0,0.25,0.75,0,1,0,0.333333333333333,0.666666666666667,0.25,0.75,0,0,0,0,1,0,0,1,0.333333333333333,0.666666666666667,0,0.19047619047619,0.80952380952381,0.21875,0.78125,0,0.25,0.75,0.263157894736842,0.736842105263158,0,0.549698795180723,0.5,1,0.75,1,0.666666666666667,0.736842105263158,0.78125,"TRUMP"
"18","Fulton",36035,"Fulton",495,1283258864,96893251,55531,43205,21191,22014,46969,16.2,53684,52948,41.8,40.6,43,1475,1010,3456,1552,1036,"Fulton",20,0,77,6,3,19,1,0,1,1,0,0,28,31,13,5,4,2,0,0,0,0,0,0,0,0,1,5,9,4,1,1,6,7,5,0,125,2,6,59,0,15,97,106,9,0.171409662475182,0.57180675049636,0.256783587028458,0.593561368209256,0.406438631790744,0.2,0.8,0,1,0,0,1,0.848484848484849,0.151515151515152,0,1,0,0.775,0.225,0,0,0,0.833333333333333,0.166666666666667,0,1,0,0.764705882352941,0.235294117647059,0,0.333333333333333,0.666666666666667,0.793814432989691,0.206185567010309,0,0.25,0.75,0.797297297297297,0.202702702702703,0,0.57180675049636,1,0.151515151515152,0.225,0.166666666666667,0.235294117647059,0.202702702702703,0.206185567010309,"TRUMP"
"19","Genesee",36037,"Genesee",493,1276697637,6142600,60079,46820,23054,23766,50880,20,56763,55787,41.5,40.3,42.6,1622,1393,3815,1282,1032,"Genesee",20,3,6,3,4,6,0,0,2,0,2,2,2,0,1,1,0,1,1,0,1,0,2,1,0,0,0,11,6,1,2,0,1,2,1,2,42,2,2,4,3,17,29,36,7,0.168379833578071,0.622450644477076,0.209169521944852,0.537976782752902,0.462023217247098,0,0,1,0,0,0,1,0.133333333333333,0.733333333333333,0.133333333333333,0.666666666666667,0.333333333333333,0,0.857142857142857,0.142857142857143,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0.5,0.5,0,0.571428571428571,0.428571428571429,0.206896551724138,0.689655172413793,0.103448275862069,0.5,0.5,0.166666666666667,0.708333333333333,0.125,0.622450644477076,0,0.733333333333333,0.857142857142857,0.666666666666667,0.5,0.708333333333333,0.689655172413793,"TRUMP"
"20","Greene",36039,"Greene",647,1676140222,28201066,49221,39739,20828,18911,50278,20.6,45212,44440,44,42.3,45.9,1566,1195,2689,838,705,"Greene",109,3,10,11,23,23,1,6,14,2,0,0,1,4,4,1,1,1,5,1,3,1,2,0,0,0,18,40,27,10,14,1,11,7,2,2,179,21,7,5,3,85,122,156,34,0.166587901701323,0.635396975425331,0.198015122873346,0.567185802245563,0.432814197754437,0.5,0.5,0,0.947368421052632,0.0526315789473684,0.857142857142857,0.142857142857143,0.0232558139534884,0.930232558139535,0.0465116279069767,0.736842105263158,0.263157894736842,0.129032258064516,0.870967741935484,0,0,1,0.0666666666666667,0.933333333333333,0,0.666666666666667,0.333333333333333,0.285714285714286,0.714285714285714,0,0.676470588235294,0.323529411764706,0.0819672131147541,0.89344262295082,0.0245901639344262,0.75,0.25,0.0537634408602151,0.913978494623656,0.032258064516129,0.635396975425331,0.947368421052632,0.930232558139535,0.870967741935484,0.933333333333333,0.714285714285714,0.913978494623656,0.89344262295082,"TRUMP"
