County,Trump_twt,Kasich_twt,Cruz_twt,Hillary_twt,Bernie_twt,Unclear_twt,d17_Bernie,d18_Bernie,d19b4_Bernie,d20_Bernie,d19aft_Bernie,d17_Cruz,d18_Cruz,d19b4_Cruz,d20_Cruz,d19aft_Cruz,d17_Hillary,d18_Hillary,d19b4_Hillary,d20_Hillary,d19aft_Hillary,d17_Kasich,d18_Kasich,d19b4_Kasich,d20_Kasich,d19aft_Kasich,d17_Trump,d18_Trump,d19b4_Trump,d20_Trump,d19aft_Trump,d17_Unclear,d18_Unclear,d19b4_Unclear,d20_Unclear,d19aft_Unclear,AllTweets
Putnam,77,4,25,43,36,29,3,7,16,3,7,2,6,7,8,2,6,8,10,3,16,0,1,0,2,1,12,18,17,15,15,8,1,7,6,7,214
Queens,2137,71,550,1658,1359,642,236,356,537,120,110,92,127,150,117,64,288,426,447,199,298,11,21,21,6,12,358,524,672,327,256,128,166,127,128,93,6417
Rensselaer,141,3,50,97,173,50,43,53,58,10,9,3,9,12,16,10,32,29,22,9,5,0,0,2,0,1,33,35,44,12,17,8,8,15,17,2,514
Richmond,1609,29,331,422,301,304,41,58,140,21,41,63,81,81,78,28,113,101,75,63,70,3,8,7,8,3,406,394,432,182,195,88,80,55,48,33,2996
Rockland,153,8,163,64,78,77,10,12,47,1,8,24,60,55,14,10,16,12,12,13,11,1,2,5,0,0,19,33,65,11,25,15,17,22,7,16,543
Saratoga,175,16,61,103,57,35,8,10,26,11,2,12,7,18,18,6,17,22,33,12,19,2,9,4,0,1,28,51,44,28,24,9,6,9,7,4,447
Schenectady,107,32,27,76,162,24,48,46,48,12,8,2,4,10,8,3,21,17,15,10,13,2,23,4,1,2,18,22,30,21,16,4,9,7,3,1,428
Schoharie,133,9,25,3,6,8,0,1,2,2,1,0,2,22,0,1,0,0,3,0,0,0,1,7,0,1,46,84,2,1,0,2,0,6,0,0,184
Schuyler,190,0,20,21,15,18,4,5,2,3,1,3,11,0,5,1,4,8,8,1,0,0,0,0,0,0,111,17,45,13,4,8,4,2,4,0,264
Seneca,31,2,18,25,3,9,0,1,2,0,0,4,6,1,3,4,6,9,4,2,4,1,1,0,0,0,5,6,11,3,6,1,1,2,1,4,88
Steuben,51,1,14,49,53,32,9,14,16,11,3,2,2,2,6,2,9,8,15,8,9,0,0,0,0,1,4,17,17,8,5,1,16,5,6,4,200
StLawrence,84,2,12,26,61,18,12,5,28,2,14,2,2,1,4,3,5,7,5,3,6,1,1,0,0,0,9,20,21,16,18,4,1,4,6,3,203
Suffolk,3937,124,1157,1595,1099,987,184,299,442,87,87,197,319,306,247,88,322,409,358,249,257,32,23,41,14,14,625,983,1142,681,506,173,258,207,192,157,8899
Sullivan,144,3,38,47,42,24,21,4,10,3,4,12,7,11,7,1,19,12,7,6,3,1,2,0,0,0,42,22,32,28,20,6,6,6,5,1,298
Tioga,103,1,17,8,8,17,1,0,4,2,1,2,1,3,11,0,3,2,1,1,1,0,1,0,0,0,11,26,41,21,4,4,3,3,5,2,154
Tompkins,266,17,94,165,233,92,48,40,96,29,20,8,6,26,48,6,17,56,49,14,29,4,3,6,0,4,39,49,70,86,22,9,21,24,29,9,867
Ulster,482,65,100,231,157,163,22,33,60,22,20,11,12,24,42,11,55,54,36,29,57,9,16,22,17,1,132,94,131,52,73,54,40,31,20,18,1198
Warren,316,17,400,88,71,218,7,28,19,9,8,75,129,81,65,50,24,22,22,9,11,0,5,4,3,5,47,124,74,46,25,42,69,57,35,15,1110
Washington,47,3,11,29,16,12,3,6,5,2,0,2,2,2,4,1,10,10,4,1,4,0,3,0,0,0,11,12,15,3,6,2,4,2,4,0,118
Wayne,36,0,6,7,5,7,2,0,2,0,1,1,0,3,2,0,1,1,2,3,0,0,0,0,0,0,4,6,21,3,2,0,2,2,3,0,61
Westchester,1651,62,388,1265,861,470,130,227,379,78,47,89,75,97,94,33,222,400,386,86,171,9,13,23,9,8,402,348,414,236,251,93,109,81,78,109,4697
Wyoming,11,1,6,3,0,3,0,0,0,0,0,3,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,3,5,2,1,0,1,1,0,1,24
Yates,10,2,18,5,2,1,0,0,1,0,1,2,1,3,0,12,0,3,2,0,0,0,0,0,2,0,1,3,3,1,2,0,1,0,0,0,38
