"Intercept","Candidate_TS18","Candidate_TS19b4","Candidate_TS17","Perc_BachelorsDeg_and_higher","perc_Fem","MedianAge_Total","perc_white","Estimate_MedianIncome_2015","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","Candidate_TS18_SE","Candidate_TS19b4_SE","Candidate_TS17_SE","Perc_BachelorsDeg_and_higher_SE","perc_Fem_SE","MedianAge_Total_SE","perc_white_SE","Estimate_MedianIncome_2015_SE","Intercept_TV","Candidate_TS18_TV","Candidate_TS19b4_TV","Candidate_TS17_TV","Perc_BachelorsDeg_and_higher_TV","perc_Fem_TV","MedianAge_Total_TV","perc_white_TV","Estimate_MedianIncome_2015_TV","Local_R2","residual_ols","yhat_ols","Intercept_p_by","Candidate_TS18_p_by","Candidate_TS19b4_p_by","Candidate_TS17_p_by","Perc_BachelorsDeg_and_higher_p_by","perc_Fem_p_by","MedianAge_Total_p_by","perc_white_p_by","Estimate_MedianIncome_2015_p_by","Intercept_p","Candidate_TS18_p","Candidate_TS19b4_p","Candidate_TS17_p","Perc_BachelorsDeg_and_higher_p","perc_Fem_p","MedianAge_Total_p","perc_white_p","Estimate_MedianIncome_2015_p","Intercept_t","Candidate_TS18_t","Candidate_TS19b4_t","Candidate_TS17_t","Perc_BachelorsDeg_and_higher_t","perc_Fem_t","MedianAge_Total_t","perc_white_t","Estimate_MedianIncome_2015_t"
"52",1.32196513568745,0.0989077654333738,-0.0652138278401896,-0.0605969692750167,-0.0106310208609649,-0.87817697577568,0.00707223675945635,-0.707040255610568,0.00000573919882218665,0.47807727496657,0.472317246687121,0.00576002827944849,0.0143300050500408,0.249392176194411,0.645676339101184,0.0606978788225722,0.0490150530306075,0.0537560997214503,0.00311943766058383,1.08184599262212,0.00482677552265714,0.202294006176696,0.00000149866207465492,2.04741145931984,1.62950942194362,-1.33048571424511,-1.12725755010155,-3.40799272743767,-0.811739361946709,1.46520937761843,-3.49511223280138,3.82954831462466,0.831148526453533,-0.00679523840414448,0.484872513370714,1,1,1,1,0.154063139707239,1,1,0.0802412185975205,0,0.047,0.111,0.191,0.267,0.002,0.422,0.151,0.001,0,2.04741145931984,1.62950942194362,-1.33048571424511,-1.12725755010155,-3.40799272743767,-0.811739361946709,1.46520937761843,-3.49511223280138,3.82954831462466
"30",1.10917885786122,0.13478192813958,-0.0253019121981075,-0.0767062008049782,-0.00759680666447155,0.0844918700592686,0.00561198801567522,-0.748464395784675,0.0000000891263919529962,0.547762061615966,0.530174763875013,0.0175872977409527,0.0329612888718269,0.655476887727907,0.408257487991519,0.0545139291849382,0.0749411531489983,0.0421862612764374,0.0032844838215067,0.703310196934826,0.0062129821110743,0.218683604189938,0.00000353413643576964,2.71686102640268,2.47243099433052,-0.337623737224887,-1.81827444490374,-2.31293776353164,0.120134572806568,0.903268014513056,-3.42259036088776,0.0252187185109584,0.858731041991362,0.0301987058081532,0.517563355807813,0.566408601864851,0.679690322237821,1,1,0.788512132359886,1,1,0.0802412185975205,1,0.01,0.018,0.737,0.077,0.026,0.905,0.372,0.001,0.98,2.71686102640268,2.47243099433052,-0.337623737224887,-1.81827444490374,-2.31293776353164,0.120134572806568,0.903268014513056,-3.42259036088776,0.0252187185109584
"49",1.6449769431389,0.127009864621793,0.105592122926023,0.0772391927048075,-0.0116706631578282,-1.00604515182205,-0.0175115764694792,-0.0563359914914004,0.00000599705296689755,0.671684180630503,0.69779997050869,-0.0261157898781875,-0.0710926032039135,-1.12963715092398,0.720425044264409,0.089685101136761,0.0592157830509599,0.09331277071605,0.00162660020820596,1.15608721142832,0.00787857349168573,0.126756843824979,0.000000813147577048992,2.28334225223737,1.41617574170001,1.78317532059235,0.827745142621965,-7.17488114101513,-0.870215622036939,-2.22268364799278,-0.444441418636038,7.37511017208164,0.949271398097784,-0.0465307676403266,0.71821494827083,0.817001498447481,1,1,1,0,1,0.850003529419252,1,0,0.028,0.165,0.082,0.413,0,0.389,0.032,0.659,0,2.28334225223737,1.41617574170001,1.78317532059235,0.827745142621965,-7.17488114101513,-0.870215622036939,-2.22268364799278,-0.444441418636038,7.37511017208164
"31",1.405043440618,0.070416337627468,-0.0119469154292397,-0.0330900959679999,-0.00425809070838226,-1.15300462442307,0.00714798168156096,-0.49513773842656,-0.00000108880397596528,0.495336960142112,0.523984369122017,-0.0286474089799052,-0.0587969181504965,-1.22327855219526,0.524823670509301,0.0622287385802998,0.0590467854197472,0.0640003953569966,0.00292983357027128,0.930102306536869,0.0053682029324235,0.246227622481835,0.00000382838670382263,2.67717239059457,1.13157263402669,-0.202329650027726,-0.517029555574182,-1.45335583276424,-1.23965354813081,1.33154088463902,-2.01089436447402,-0.284402820352008,0.954988083219426,-0.0210404602544003,0.516377420396512,0.596723428443533,1,1,1,1,1,1,1,1,0.011,0.265,0.841,0.608,0.154,0.222,0.191,0.051,0.778,2.67717239059457,1.13157263402669,-0.202329650027726,-0.517029555574182,-1.45335583276424,-1.23965354813081,1.33154088463902,-2.01089436447402,-0.284402820352008
"14",1.11891213391665,0.148572694234995,-0.0413388447762965,-0.0701250981297882,-0.00840693320050673,0.162885123045228,0.00537386286499049,-0.815630218429061,0.000000933392325946969,0.572328033999685,0.596661959137682,-0.0243339251379968,-0.0405455580807867,-0.851547503113286,0.418368858162807,0.05828063340389,0.0781649471211521,0.0441646975915951,0.00350370282827812,0.747540955334972,0.00663678341961641,0.223058651704081,0.00000382259966119263,2.67446324477915,2.54926354704097,-0.528866791302541,-1.58780885987847,-2.39944242207273,0.217894580735365,0.809708939590662,-3.65657288878043,0.244177368460226,0.837843781682691,0.0074231120422404,0.564904921957445,0.596723428443533,0.66406525735879,1,1,0.722170967377684,1,1,0.0802412185975205,1,0.011,0.015,0.6,0.12,0.021,0.829,0.423,0.001,0.808,2.67446324477915,2.54926354704097,-0.528866791302541,-1.58780885987847,-2.39944242207273,0.217894580735365,0.809708939590662,-3.65657288878043,0.244177368460226
"32",0.807335375789378,0.0889657441817723,0.0420076189446261,-0.0747353378066022,-0.00495883505596617,-0.213810492272969,0.00280776283125885,-0.255809313922364,0.000000213216885669036,0.495575221238938,0.509050570659158,-0.0134753494202205,-0.0241797424786801,-0.505216634363058,0.509340396943875,0.053511805699042,0.0706463980266061,0.0500588695862195,0.00280938582029273,0.961207187573035,0.00493096810698657,0.253209060207353,0.00000370520045723458,1.58506056192189,1.66254423710028,0.59461798645142,-1.4929489703694,-1.76509578006252,-0.222439547932243,0.569414113078646,-1.01026919697456,0.0575453037237754,0.955147553348782,-0.0561577331490381,0.551732954387976,1,1,1,1,1,1,1,1,1,0.121,0.104,0.556,0.143,0.085,0.825,0.572,0.319,0.954,1.58506056192189,1.66254423710028,0.59461798645142,-1.4929489703694,-1.76509578006252,-0.222439547932243,0.569414113078646,-1.01026919697456,0.0575453037237754
"0",1.11618198323591,0.156801926860404,-0.0514442958932541,-0.0660895670906057,-0.00887324277982356,0.206368296443585,0.00517507275155582,-0.845803293080593,0.00000150009988116906,0.538395630288101,0.544273657212222,-0.0058780269241212,-0.0429829413878514,-0.739894486532713,0.425406211978255,0.0611989195421211,0.0803522555635943,0.0454308362945797,0.00364315128574095,0.778004990444474,0.00688393396460993,0.226038444050272,0.00000400699787307789,2.62380273678975,2.56216822181775,-0.640234621074686,-1.45472926498804,-2.43559547322474,0.26525317829348,0.751760952118468,-3.74185593355297,0.374370021818052,0.826385440095981,0.0244482376932277,0.513947392594873,0.616252558828957,0.641929748780164,1,1,0.706711650033208,1,1,0.0802412185975205,1,0.012,0.014,0.526,0.154,0.02,0.792,0.457,0.001,0.71,2.62380273678975,2.56216822181775,-0.640234621074686,-1.45472926498804,-2.43559547322474,0.26525317829348,0.751760952118468,-3.74185593355297,0.374370021818052
"33",0.782225303380139,0.0823268691508288,0.0435009444515053,-0.08812989242732,-0.00360296383700023,-0.4867909875652,0.0050039959131258,-0.167053077686357,-0.000000337370233802541,0.500952380952381,0.525564239726517,-0.0246118587741356,-0.0341296732200085,-0.79566748584349,0.447099427897087,0.0515227672166166,0.0722682422333108,0.0419896517301254,0.00320792487271504,0.756854418771148,0.00593489102831152,0.256347102396603,0.00000349549935766993,1.749555590038,1.59787359255575,0.601937214842819,-2.0988479017103,-1.12314470567724,-0.643176515181835,0.843148743465545,-0.651667509109986,-0.0965156045765746,0.945555643480013,-0.0594126549605607,0.560365035912942,1,1,1,1,1,1,1,1,1,0.088,0.118,0.551,0.042,0.268,0.524,0.404,0.518,0.924,1.749555590038,1.59787359255575,0.601937214842819,-2.0988479017103,-1.12314470567724,-0.643176515181835,0.843148743465545,-0.651667509109986,-0.0965156045765746
"16",1.36417921126573,0.0675151547691829,-0.0310409411391326,-0.0446794261456738,-0.00371059721001403,-1.20912939077858,0.00858422467524982,-0.429341175275599,-0.00000173590789874939,0.512726571538758,0.51945336993441,-0.00672679839565216,-0.0265467728610066,-0.370770846639676,0.56038605504164,0.0599049203568211,0.0481231383098912,0.0529573816627878,0.00258565671217829,0.922913894276685,0.00474483147603003,0.240151218194589,0.00000332675024484983,2.43435609967911,1.12703855321119,-0.645031521827255,-0.843686465282126,-1.43506954830366,-1.3101215598517,1.80917377542609,-1.78779511719034,-0.521802892007527,0.942771762238364,-0.00389519396023609,0.516621765498994,0.706711650033208,1,1,1,1,1,1,1,1,0.02,0.267,0.523,0.404,0.159,0.198,0.078,0.082,0.605,2.43435609967911,1.12703855321119,-0.645031521827255,-0.843686465282126,-1.43506954830366,-1.3101215598517,1.80917377542609,-1.78779511719034,-0.521802892007527
"1",0.853457583030996,0.0118817461641356,-0.0440169442590499,-0.00716833014562143,-0.00201734503442972,0.1103608594127,-0.00163549756280659,-0.159502683298836,-0.00000184679250449657,0.538894907908992,0.524835363224077,0.0140595446849154,0.0209530747138853,0.48407389402511,0.451490240710689,0.0614518341511534,0.0530804667708904,0.0461223927426933,0.00384197716335721,0.752376664979344,0.00354475306571587,0.278523128009109,0.00000307980028238307,1.89031236132053,0.193350553783472,-0.829249381868455,-0.155419736907666,-0.525079912933921,0.146682990780594,-0.461385471000729,-0.572673028767721,-0.599646839134509,0.804202295437699,-0.00103590992470123,0.539930817833693,1,1,1,1,1,1,1,1,1,0.066,0.848,0.412,0.877,0.602,0.884,0.647,0.57,0.552,1.89031236132053,0.193350553783472,-0.829249381868455,-0.155419736907666,-0.525079912933921,0.146682990780594,-0.461385471000729,-0.572673028767721,-0.599646839134509
"34",1.5215809769899,0.0621548730322313,-0.0696100720060184,-0.0604828298474035,-0.00919145666640979,-1.72539126166347,0.00904804173623572,-0.569675962451661,0.00000600407018934729,0.569168270258713,0.575273355092409,-0.00610508483369554,-0.011985296364606,-0.254640668443037,0.652868675579704,0.0602768139105003,0.0528460000986088,0.0659054510505233,0.00227464273946863,1.0330967487616,0.00666458544715038,0.12012718297269,0.00000122968265574141,2.33060802869557,1.0311572394075,-1.31722499103297,-0.917721203380237,-4.0408352955493,-1.67011585674985,1.35763008937104,-4.74227355003548,4.88261760976639,0.875532953457359,0.0144594603774496,0.554708809881263,0.764202081881148,1,1,1,0,1,1,0,0,0.025,0.309,0.195,0.364,0,0.103,0.182,0,0,2.33060802869557,1.0311572394075,-1.31722499103297,-0.917721203380237,-4.0408352955493,-1.67011585674985,1.35763008937104,-4.74227355003548,4.88261760976639
"54",0.848934748715097,0.083061665677229,0.0204528510033182,-0.0531587821503674,-0.00419595627934333,-0.299696437514714,0.00446956836923549,-0.231613554609668,-0.00000180335633711462,0.440041173443129,0.449976953249705,-0.0099357798065759,-0.0394953931097993,-0.595342517646403,0.499485672673138,0.0545939409034746,0.0663284707675251,0.0504728922697948,0.00267559349368545,0.948244076442284,0.00470770515050084,0.283106432946129,0.00000350030466850995,1.69961781720742,1.52144476662872,0.308357041352626,-1.05321450306861,-1.56823384764764,-0.316054109864988,0.949415527597344,-0.818114771181271,-0.515199820557989,0.960372969595895,-0.0412671531547716,0.481308326597901,1,1,1,1,1,1,1,1,1,0.097,0.136,0.759,0.299,0.125,0.754,0.348,0.418,0.609,1.69961781720742,1.52144476662872,0.308357041352626,-1.05321450306861,-1.56823384764764,-0.316054109864988,0.949415527597344,-0.818114771181271,-0.515199820557989
