"Intercept","Candidate_TS18","Perc_BachelorsDeg_and_higher","perc_Fem","MedianAge_Total","perc_white","Estimate_MedianIncome_2015","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","Candidate_TS18_SE","Perc_BachelorsDeg_and_higher_SE","perc_Fem_SE","MedianAge_Total_SE","perc_white_SE","Estimate_MedianIncome_2015_SE","Intercept_TV","Candidate_TS18_TV","Perc_BachelorsDeg_and_higher_TV","perc_Fem_TV","MedianAge_Total_TV","perc_white_TV","Estimate_MedianIncome_2015_TV","Local_R2","residual_ols","yhat_ols","Intercept_p_by","Candidate_TS18_p_by","Perc_BachelorsDeg_and_higher_p_by","perc_Fem_p_by","MedianAge_Total_p_by","perc_white_p_by","Estimate_MedianIncome_2015_p_by","Intercept_p","Candidate_TS18_p","Perc_BachelorsDeg_and_higher_p","perc_Fem_p","MedianAge_Total_p","perc_white_p","Estimate_MedianIncome_2015_p","Intercept_t","Candidate_TS18_t","Perc_BachelorsDeg_and_higher_t","perc_Fem_t","MedianAge_Total_t","perc_white_t","Estimate_MedianIncome_2015_t"
"52",0.969169754214033,0.0702585116306303,-0.0102318695106911,-0.58211081763116,0.00778333906166136,-0.60113237115515,0.00000566212190207708,0.47807727496657,0.474336653781593,0.00374062118497731,0.0104999478505536,0.181232351257899,0.62250961469976,0.0562276640044128,0.00312704320808983,1.07999226203104,0.0049813867661121,0.233104520315284,0.00000153188318065991,1.55687515715154,1.24953637812726,-3.27205888432263,-0.538995359593074,1.56248438981102,-2.5788104423805,3.69618386934564,0.817681897818297,-0.015719354024499,0.493796628991069,1,1,0.113204420955084,1,1,0.469929980011223,0.0656071075989694,0.128,0.219,0.002,0.593,0.127,0.014,0.001,1.55687515715154,1.24953637812726,-3.27205888432263,-0.538995359593074,1.56248438981102,-2.5788104423805,3.69618386934564
"30",1.22426199889233,0.0599308142026513,-0.00941816944505783,0.0720258781970041,0.00126228244271894,-0.786253888630728,0.00000282443911102961,0.547762061615966,0.535241843436371,0.0125202181795949,0.0247278148415155,0.506696922556045,0.364787259225089,0.0472994295773323,0.00350536109050424,0.711625248051369,0.0070166556203459,0.21122396949685,0.00000379424148657647,3.35609856959644,1.26705152130148,-2.68679009148899,0.101213213547765,0.179898018517363,-3.72237057424704,0.744401515038541,0.830613332056876,0.0249232734382453,0.522838788177721,0.113204420955084,1,0.407100513819246,1,1,0.0656071075989694,1,0.002,0.213,0.011,0.92,0.858,0.001,0.461,3.35609856959644,1.26705152130148,-2.68679009148899,0.101213213547765,0.179898018517363,-3.72237057424704,0.744401515038541
"49",1.39439648085442,0.236136476880936,-0.0117683838262159,-0.447788119457027,-0.0174641809074417,0.00408889483769366,0.00000571533894597768,0.671684180630503,0.702194484380639,-0.0305103037501364,-0.0866928334152181,-1.44012439024265,0.744852244674115,0.0886345187859854,0.00153975873570388,1.22744243121518,0.00754500650596599,0.131672644630576,0.000000799132495181505,1.87204440991447,2.66415929273678,-7.64300507172387,-0.364813948148843,-2.31466744178848,0.0310534876030293,7.15192909866538,0.955012297837644,-0.0439550536657898,0.715639234296293,1,0.407100513819246,0,1,0.664199390205496,1,0,0.069,0.011,0,0.717,0.026,0.975,0,1.87204440991447,2.66415929273678,-7.64300507172387,-0.364813948148843,-2.31466744178848,0.0310534876030293,7.15192909866538
"31",1.39078703139201,0.0615384892993343,-0.00438640185810557,-1.01009904824433,0.00629335522846994,-0.512611039717088,-0.00000174289225971981,0.495336960142112,0.516561288070793,-0.0212243279286808,-0.0357355143589373,-0.826694312384575,0.498764150496465,0.0561134388296147,0.00294663394900214,0.91487449931363,0.00532859583423079,0.241695062664599,0.0000030009591075356,2.78846631219913,1.09668005709278,-1.4886144441494,-1.10408482147239,1.18105321256335,-2.12089992267836,-0.580778410256671,0.96270145973646,-0.00807679639739446,0.503413756539506,0.34990457386117,1,1,1,1,0.917482341926673,1,0.008,0.28,0.145,0.277,0.245,0.041,0.565,2.78846631219913,1.09668005709278,-1.4886144441494,-1.10408482147239,1.18105321256335,-2.12089992267836,-0.580778410256671
"14",1.19386008477455,0.0618653814127017,-0.00941977630351471,0.112183812748064,0.00283716317663241,-0.847228909273034,0.00000293785932381528,0.572328033999685,0.595603373756119,-0.0232753397564343,-0.0400638369834899,-0.882848653634141,0.376129059092979,0.0520626560608278,0.00376197734018055,0.770936717038417,0.00756707097642053,0.215956343181236,0.00000406861819842811,3.17407032483345,1.18828707740959,-2.5039428608208,0.145516240527527,0.374935451969882,-3.9231489883213,0.722077909632884,0.803828729846416,0.00358164855962866,0.568746385440056,0.157457058237527,1,0.505918726639475,1,1,0,1,0.003,0.242,0.017,0.885,0.71,0,0.475,3.17407032483345,1.18828707740959,-2.5039428608208,0.145516240527527,0.374935451969882,-3.9231489883213,0.722077909632884
"32",0.807188850562634,0.0610202155739216,-0.00459615377849904,-0.136595033142481,0.00329993824887793,-0.237670069470532,-0.0000014722914465322,0.495575221238938,0.524084802245023,-0.0285095810060847,-0.0396429178936593,-0.928201518413377,0.463150627909659,0.0464674189215107,0.00272754827864645,0.869320900494151,0.00441754707597784,0.245063779855406,0.00000361436047837122,1.74282145358568,1.31318280615053,-1.68508613192354,-0.157128435615473,0.747006923100525,-0.96982944444407,-0.407344938431728,0.960978857564933,-0.0710396751176565,0.566614896356594,1,1,1,1,1,1,1,0.09,0.197,0.101,0.876,0.46,0.339,0.686,1.74282145358568,1.31318280615053,-1.68508613192354,-0.157128435615473,0.747006923100525,-0.96982944444407,-0.407344938431728
"0",1.16545384376614,0.0628619323377777,-0.00936662290914891,0.124310954371727,0.00372287568362641,-0.868025303128152,0.00000305466420232382,0.538395630288101,0.533101510392435,0.0052941198956663,0.0266826325146962,0.576673840810606,0.384721929936951,0.0552072187817414,0.00394742555621206,0.810495678813599,0.0079906729625771,0.219575748754625,0.00000426279812713044,3.02934081235541,1.13865421452036,-2.37284345854443,0.15337645544723,0.465902646881162,-3.95319295528473,0.716586643613854,0.791096556736684,0.0399599785424139,0.498435651745687,0.199083636852045,1,0.626362197076953,1,1,0,1,0.004,0.262,0.023,0.879,0.644,0,0.478,3.02934081235541,1.13865421452036,-2.37284345854443,0.15337645544723,0.465902646881162,-3.95319295528473,0.716586643613854
"33",0.751455558507297,0.0499699944236067,-0.00294495780375791,-0.500955565012078,0.00549701774286048,-0.0945194413722612,-0.00000173497701751198,0.500952380952381,0.524206288638959,-0.0232539076865778,-0.0346590689568417,-0.849218473458124,0.452070217095846,0.0483239438950381,0.00346842555101185,0.776758517355312,0.00596531715677898,0.269875236646479,0.00000366728377412713,1.66225407047325,1.03406283502323,-0.849076262541881,-0.644930893989704,0.92149630914656,-0.350233843411414,-0.473095927223393,0.957893535695877,-0.0656605087981104,0.566612889750491,1,1,1,1,1,1,1,0.105,0.308,0.401,0.523,0.363,0.728,0.639,1.66225407047325,1.03406283502323,-0.849076262541881,-0.644930893989704,0.92149630914656,-0.350233843411414,-0.473095927223393
"16",1.31405346469319,0.0474460794267398,-0.00346009466539549,-1.1018437446516,0.00774572309412508,-0.422218697616846,-0.00000226701309565726,0.512726571538758,0.540285162447155,-0.0275585909083972,-0.0417007047454935,-0.984030104751432,0.542774558367174,0.0505546772180777,0.00246481942334761,0.919197463904532,0.00469264341617646,0.232250109236138,0.00000279633887014422,2.42099310742612,0.938510184172903,-1.4037923559918,-1.19870189803531,1.65060977516937,-1.81794832736789,-0.810707571911818,0.953497234890028,-0.0325835704215532,0.545310141960311,0.594323210014194,1,1,1,1,1,1,0.021,0.354,0.169,0.238,0.107,0.077,0.423,2.42099310742612,0.938510184172903,-1.4037923559918,-1.19870189803531,1.65060977516937,-1.81794832736789,-0.810707571911818
"1",0.84838024003273,-0.0144354792013949,-0.00176336800984022,0.113580579468735,-0.00145268680239771,-0.166296217003204,-0.00000228821751021907,0.538894907908992,0.528565484647653,0.0103294232613387,0.0140161070667514,0.352302468900493,0.420598075252554,0.0514292851978378,0.00376718423907527,0.713446956801179,0.00354577546046457,0.278913274179849,0.00000293653320348918,2.01708065240981,-0.280685977762758,-0.468086479962836,0.159199753234616,-0.40969509169297,-0.596229123523079,-0.779224123023781,0.79351830417181,-0.0116976359727262,0.550592543881718,1,1,1,1,1,1,1,0.051,0.781,0.643,0.874,0.684,0.555,0.441,2.01708065240981,-0.280685977762758,-0.468086479962836,0.159199753234616,-0.40969509169297,-0.596229123523079,-0.779224123023781
